15
0	0	46	188	223	252	36800	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36612	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36615	443	8	0	1	40	0	0	40
0	0	141	138	11	170	2690	80	14	0	1	40	0	0	40
0	0	78	1	27	229	60007	443	14	0	1	40	0	0	40
0	0	51	255	65	28	47126	443	2	2	1	60	0	0	60
0	0	157	55	39	3	12172	443	2	2	1	48	0	0	48
0	0	194	152	192	146	29396	443	10	0	1	40	0	0	40
0	0	40	77	167	3	14575	443	2	2	1	48	0	0	48
0	0	204	79	180	6	1241	443	10	0	1	40	0	0	40
0	0	37	244	190	142	63913	443	10	0	1	40	0	0	40
0	0	51	255	65	8	25870	443	2	2	1	60	0	0	60
0	0	31	217	44	96	10242	443	8	0	1	40	0	0	40
0	0	89	164	9	240	50550	443	14	0	1	40	0	0	40
0	0	204	79	180	143	3606	443	10	0	1	40	0	0	40
0	0	31	217	44	96	10245	443	8	0	1	40	0	0	40
0	0	93	136	1	105	53748	443	14	0	1	40	0	0	40
0	0	31	217	44	96	10372	443	8	0	1	40	0	0	40
0	0	88	207	33	106	55661	443	10	0	1	40	0	0	40
0	0	88	207	33	106	55665	443	10	0	1	40	0	0	40
0	0	31	217	44	96	10504	443	8	0	1	40	0	0	40
0	0	141	136	215	180	56635	443	14	0	1	40	0	0	40
0	0	89	164	9	240	50550	443	8	0	1	40	0	0	40
0	0	157	55	39	168	1357	443	2	2	1	48	0	0	48
0	0	89	164	250	247	54268	443	14	0	1	40	0	0	40
0	0	89	164	250	247	54267	443	14	0	1	40	0	0	40
0	0	46	188	223	252	36485	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36548	443	10	0	1	40	0	0	40
0	0	46	188	223	252	36738	443	10	0	1	40	0	0	40
0	0	192	168	1	42	55137	443	14	0	1	40	0	0	40
0	0	37	244	190	142	63913	443	10	0	1	41	0	0	41
0	0	192	168	1	42	55132	443	14	0	1	40	0	0	40
0	0	192	168	1	42	55138	443	14	0	1	40	0	0	40
0	0	192	168	1	42	55136	443	14	0	1	40	0	0	40
0	0	40	77	167	52	17331	80	2	2	1	48	0	0	48
0	0	31	217	44	96	10560	443	8	0	1	40	0	0	40
0	0	194	152	192	146	29396	443	10	0	1	40	0	0	40
0	0	204	79	180	6	1241	443	10	0	1	40	0	0	40
0	0	37	244	190	142	63913	443	10	0	1	40	0	0	40
0	0	188	252	145	114	51223	443	10	0	1	40	0	0	40
0	0	46	188	223	252	36548	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36738	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36610	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36613	443	8	0	1	40	0	0	40
0	0	46	188	223	252	36736	443	8	0	1	40	0	0	40
0	0	194	5	87	62	38594	25	11	0	1	60	0	0	60
0	0	194	5	87	62	38596	25	11	0	1	60	0	0	60
0	0	194	5	87	62	38598	25	11	0	1	60	0	0	60
0	0	194	5	87	62	38597	25	11	0	1	60	0	0	60
0	0	194	5	87	62	38599	25	11	0	1	60	0	0	60
0	0	194	5	87	62	38602	25	11	0	1	60	0	0	60
0	0	204	79	180	143	3606	443	10	0	1	40	0	0	40
0	0	31	217	44	96	10564	443	8	0	1	40	0	0	40
0	0	164	132	161	59	47606	443	2	2	1	60	0	0	60
0	0	192	168	1	42	55137	443	14	0	1	40	0	0	40
0	0	192	168	1	42	55132	443	14	0	1	40	0	0	40
0	0	192	168	1	42	55138	443	14	0	1	40	0	0	40
0	0	192	168	1	42	55136	443	14	0	1	40	0	0	40
0	0	213	202	87	141	58236	443	10	0	1	40	0	0	40
0	0	192	99	44	101	56118	80	2	2	1	52	0	0	52
0	0	192	99	44	101	56152	443	2	2	1	52	0	0	52
0	0	157	55	39	172	20008	443	2	2	1	48	0	0	48
